4 689841.0 262114.0 743564.0 681933.0 330639.0 815911.0 272212.0 406128.0  0.013820406402694364
4  689841.0 262114.0 743564.0 681933.0 272212.0 406128.0 330639.0 815911.0  0.013820406402694364
4  272212.0 406128.0 330639.0 815911.0 689841.0 262114.0 743564.0 681933.0  0.013820406402694364
13  827823.0 235157.0 606574.0 574455.0 617231.0 399067.0 369091.0 481230.0 670929.0 862765.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 417799.0 787001.0 244654.0 847642.0 858527.0 543111.0 823421.0 731145.0  0.015029557931955815
13  827272.0 235667.0 400011.0 404474.0 612836.0 481420.0 167856.0 347812.0 670929.0 862765.0 337264.0 562123.0 139395.0 558143.0 508062.0 176011.0 320602.0 161521.0 244654.0 847642.0 418183.0 786581.0 822688.0 730558.0 858119.0 543291.0  0.013184360169369184
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 670929.0 862765.0 823421.0 731145.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 417799.0 787001.0 244654.0 847642.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
13  827823.0 235157.0 617231.0 399067.0 606574.0 574455.0 369091.0 481230.0 670929.0 862765.0 320602.0 161521.0 507818.0 175610.0 141004.0 557993.0 168295.0 347724.0 244654.0 847642.0 417799.0 787001.0 823421.0 731145.0 858527.0 543111.0  0.015029557931955815
13  827823.0 235157.0 670929.0 862765.0 244654.0 847642.0 417799.0 787001.0 369091.0 481230.0 507818.0 175610.0 320602.0 161521.0 141004.0 557993.0 168295.0 347724.0 858527.0 543111.0 823421.0 731145.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 823421.0 731145.0 670929.0 862765.0 320602.0 161521.0 507818.0 175610.0 141004.0 557993.0 168295.0 347724.0 417799.0 787001.0 244654.0 847642.0 606574.0 574455.0 617231.0 399067.0  0.015029557931955815
13  827823.0 235157.0 823421.0 731145.0 858527.0 543111.0 670929.0 862765.0 369091.0 481230.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 244654.0 847642.0 417799.0 787001.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 670929.0 862765.0 823421.0 731145.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 417799.0 787001.0 244654.0 847642.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
13  369091.0 481230.0 852058.0 157685.0 616092.0 399622.0 606574.0 574455.0 678034.0 857998.0 320602.0 161521.0 507818.0 175610.0 141004.0 557993.0 168295.0 347724.0 417799.0 787001.0 244654.0 847642.0 844029.0 631610.0 802634.0 324907.0  0.015982947878271068
4  689841.0 262114.0 272212.0 406128.0 330639.0 815911.0 743564.0 681933.0  0.013820406402694364
13  827823.0 235157.0 606574.0 574455.0 617231.0 399067.0 369091.0 481230.0 670929.0 862765.0 507818.0 175610.0 320602.0 161521.0 141004.0 557993.0 168295.0 347724.0 417799.0 787001.0 244654.0 847642.0 858527.0 543111.0 823421.0 731145.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 823421.0 731145.0 670929.0 862765.0 369091.0 481230.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 417799.0 787001.0 244654.0 847642.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 507818.0 175610.0 168295.0 347724.0 320602.0 161521.0 417799.0 787001.0 244654.0 847642.0 141004.0 557993.0 369091.0 481230.0 606574.0 574455.0 617231.0 399067.0 823421.0 731145.0 670929.0 862765.0  0.015029557931955815
13  827823.0 235157.0 858527.0 543111.0 369091.0 481230.0 823421.0 731145.0 670929.0 862765.0 507818.0 175610.0 320602.0 161521.0 168295.0 347724.0 141004.0 557993.0 244654.0 847642.0 417799.0 787001.0 617231.0 399067.0 606574.0 574455.0  0.015029557931955815
